,token_type,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active,vc_count
142,Utility-token,United States,joint-stock corporation,Marketplaces,1,1,0,0,1,65,10,62.0,17.0,1,19.0,0,0
143,Security,Cayman Islands,joint-stock corporation,Finance,0,1,0,1,1,50,22,15.0,15.0,1,40.0,1,0
144,Utility-token,Gibraltar,joint-stock corporation,Commerce & Advertising,0,1,0,1,1,1,14,11.0,15.0,1,55.0,0,0
145,Utility-token,other,other,Trading & Exchanges,0,1,0,0,0,30,6,37.0,14.0,0,29.0,1,0
146,New Blockchain,other,other,Blockchain Infrastructure,0,1,0,0,0,29,2,16.0,6.0,0,27.0,1,0
147,Utility-token,United States,joint-stock corporation,Search,0,1,0,0,1,148,17,41.0,1.0,1,32.0,0,3
148,Utility-token,other,other,Trading & Exchanges,0,1,1,1,0,16,12,14.0,36.0,0,12.0,1,0
149,Utility-token,United States,joint-stock corporation,Content Management,0,1,0,0,1,31,3,3.0,3.0,1,21.0,1,0
150,Security,Switzerland,joint-stock corporation,Trading & Exchanges,0,1,1,1,1,28,15,35.0,3.0,0,19.0,0,0
151,Utility-token,Estonia,joint-stock corporation,Health,0,1,1,1,1,12,11,1.0,18.0,1,29.0,1,0
152,Utility-token,United Kingdom,limited liability partnership,Art & Music,0,1,0,0,1,33,8,11.0,15.0,1,19.0,1,2
153,Utility-token,Switzerland,limited liability partnership,Social Networks,0,1,0,0,1,4,6,7.0,6.0,1,10.0,0,0
154,Utility-token,United States,joint-stock corporation,Video Games & VR,0,1,0,0,1,69,7,43.0,15.0,0,8.0,1,0
155,Security,other,other,Finance,0,1,0,1,0,31,9,3.0,17.0,1,18.0,1,0
156,Utility-token,Gibraltar,joint-stock corporation,Drugs & Healthcare,0,1,0,1,1,28,10,7.0,15.0,1,30.0,1,0
157,Utility-token,United Kingdom,joint-stock corporation,Drugs & Healthcare,0,1,0,1,1,29,15,-25.0,24.0,1,42.0,1,0
158,Utility-token,Switzerland,joint-stock corporation,Finance,0,1,0,0,1,1,3,7.0,3.0,0,7.0,1,0
159,Utility-token,United States,limited liability partnership,Communications,0,1,1,1,1,31,15,-29.0,10.0,0,17.0,1,0
160,Cryptocurrency,Singapore,joint-stock corporation,Finance,0,1,0,0,1,35,13,30.0,14.0,1,76.0,1,0
161,Utility-token,United States,joint-stock corporation,Video Games & VR,0,1,0,0,1,30,9,18.0,53.0,1,32.0,0,0
162,New Blockchain,Cayman Islands,joint-stock corporation,Communications,0,1,0,1,1,1,3,2.0,39.0,0,38.0,1,2
163,Security,Switzerland,joint-stock corporation,Drugs & Healthcare,0,1,1,1,1,22,19,31.0,15.0,1,20.0,1,0
164,Cryptocurrency,Switzerland,limited liability partnership,Payments,0,1,0,0,1,32,4,15.0,27.0,1,32.0,0,0
165,Utility-token,Switzerland,limited liability partnership,Payments,0,1,0,0,1,34,10,-24.0,29.0,1,47.0,1,0
166,Utility-token,Estonia,joint-stock corporation,Trading & Exchanges,0,1,0,1,1,22,5,0.0,5.0,0,9.0,1,0
167,Utility-token,Cayman Islands,other,Content Management,0,1,0,1,0,31,6,29.0,5.0,1,0.0,0,0
168,Security,Switzerland,foundation,Finance,0,1,0,0,1,31,6,-7.0,3.0,0,16.0,1,0
169,Utility-token,Switzerland,other,Privacy & Security,0,1,0,0,0,1,8,15.0,17.0,1,32.0,1,0
170,Utility-token,other,joint-stock corporation,Payments,0,1,0,1,1,27,26,8.0,65.0,1,79.0,1,0
171,Utility-token,other,limited liability partnership,Finance,0,1,1,1,1,38,11,21.0,12.0,1,40.0,0,0
172,Security,other,limited liability partnership,Finance,0,1,0,1,1,31,15,12.0,26.0,0,62.0,1,0
173,Utility-token,Estonia,joint-stock corporation,Data Analytics,0,1,0,0,1,1,8,44.0,56.0,1,36.0,1,0
174,New Blockchain,other,joint-stock corporation,Blockchain Infrastructure,0,1,0,0,1,31,13,-13.0,12.0,1,9.0,0,0
175,Utility-token,other,other,Video Games & VR,0,1,0,0,0,26,12,24.0,3.0,1,43.0,0,0
176,Security,other,other,Trading & Exchanges,0,1,1,0,0,36,3,13.0,8.0,1,15.0,0,0
177,Security,Hong Kong,joint-stock corporation,Trading & Exchanges,0,1,1,1,1,13,15,27.0,14.0,0,23.0,1,0
178,Cryptocurrency,Singapore,joint-stock corporation,Payments,0,1,0,0,1,21,5,17.0,27.0,1,16.0,1,11
179,Utility-token,United Kingdom,joint-stock corporation,Content Management,0,1,1,0,1,36,10,5.0,6.0,1,42.0,1,0
180,Utility-token,other,limited liability partnership,Provenance & Notary,0,1,1,1,1,1,9,8.0,19.0,1,27.0,1,0
181,Cryptocurrency,other,limited liability partnership,Finance,0,1,0,0,1,31,5,40.0,6.0,1,27.0,1,0
182,Utility-token,United States,joint-stock corporation,Real Estate,1,1,1,0,1,31,12,11.0,15.0,0,44.0,0,0
183,Utility-token,United States,joint-stock corporation,Drugs & Healthcare,0,1,0,0,1,29,7,-22.0,11.0,1,19.0,1,3
184,Security,other,other,Gambling & Betting,0,1,1,0,1,80,4,30.0,7.0,1,12.0,0,0
