,token_type,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active,vc_count
42,Utility-token,Cayman Islands,joint-stock corporation,Search,0,1,1,0,1,2,8,10.0,2.0,0,25.0,1,0
43,Utility-token,Cayman Islands,joint-stock corporation,Payments,0,1,0,1,1,11,14,0.0,44.0,0,15.0,1,6
44,Utility-token,other,joint-stock corporation,Marketplaces,0,1,0,1,1,32,15,12.0,15.0,1,41.0,1,0
45,Security,other,joint-stock corporation,Marketplaces,1,1,0,0,1,33,9,7.0,9.0,1,37.0,1,0
46,New Blockchain,Estonia,joint-stock corporation,Finance,0,1,1,1,1,31,15,71.0,14.0,1,33.0,1,0
47,unknown,United States,joint-stock corporation,Payments,1,1,0,0,1,14,20,-55.0,36.0,0,18.0,1,0
48,Utility-token,United States,joint-stock corporation,Blockchain Infrastructure,0,1,0,0,1,1,2,1.0,32.0,0,38.0,1,0
49,Cryptocurrency,Estonia,joint-stock corporation,Finance,0,1,0,1,1,31,16,1.0,17.0,1,12.0,0,0
50,Security,other,joint-stock corporation,Marketplaces,0,1,0,0,1,64,7,13.0,5.0,0,9.0,1,0
51,Cryptocurrency,Hong Kong,joint-stock corporation,Blockchain Infrastructure,0,1,0,1,1,8,2,21.0,15.0,0,18.0,1,1
52,Utility-token,Gibraltar,joint-stock corporation,Finance,0,1,0,1,1,33,16,1.0,17.0,1,37.0,1,3
53,Utility-token,United States,joint-stock corporation,Identity & Reputation,0,1,0,1,1,8,9,19.0,33.0,1,18.0,1,4
54,Security,Cayman Islands,joint-stock corporation,Trading & Exchanges,1,1,0,0,1,40,9,-21.0,14.0,1,18.0,1,1
55,Utility-token,other,joint-stock corporation,Finance,0,1,0,0,1,4,6,12.0,15.0,1,17.0,0,0
56,Utility-token,other,joint-stock corporation,Trading & Exchanges,0,0,0,0,1,1,9,21.0,15.0,0,19.0,1,0
57,Utility-token,other,joint-stock corporation,Finance,0,1,0,0,1,29,6,19.0,15.0,1,52.0,1,0
58,Utility-token,Gibraltar,joint-stock corporation,Finance,0,1,0,1,1,42,6,119.0,15.0,1,13.0,1,2
59,Cryptocurrency,Switzerland,foundation,Blockchain Infrastructure,0,1,0,0,1,71,12,47.0,15.0,1,32.0,1,0
60,Utility-token,Gibraltar,joint-stock corporation,Finance,0,1,0,0,1,38,8,23.0,20.0,1,41.0,1,0
61,Utility-token,Estonia,joint-stock corporation,Payments,0,1,0,1,1,67,11,17.0,55.0,0,35.0,1,0
62,Security,Cayman Islands,joint-stock corporation,Finance,0,1,0,1,1,46,6,53.0,35.0,1,16.0,1,0
63,Security,Cayman Islands,foundation,Payments,0,1,0,1,1,36,56,59.0,18.0,0,28.0,1,1
64,Utility-token,Gibraltar,joint-stock corporation,Trading & Exchanges,0,1,0,0,1,33,9,8.0,3.0,0,10.0,1,0
65,Utility-token,Hong Kong,limited liability partnership,Commerce & Advertising,0,1,1,1,1,41,7,3.0,38.0,1,27.0,1,5
66,Utility-token,Singapore,joint-stock corporation,Gambling & Betting,0,1,0,0,1,23,8,-19.0,12.0,1,16.0,1,0
67,Utility-token,other,joint-stock corporation,Video Games & VR,0,1,0,0,1,30,9,30.0,1.0,0,0.0,0,0
68,Utility-token,Switzerland,limited liability partnership,Commerce & Advertising,0,1,0,1,1,32,12,16.0,7.0,1,37.0,0,0
69,Security,other,limited liability partnership,Finance,0,1,1,0,1,29,4,133.0,5.0,1,26.0,0,0
70,Utility-token,Gibraltar,joint-stock corporation,Finance,0,1,0,1,1,82,12,15.0,21.0,1,88.0,1,0
71,Utility-token,Switzerland,foundation,Content Management,0,1,0,0,1,57,26,34.0,4.0,1,21.0,1,2
72,Utility-token,Cayman Islands,joint-stock corporation,Video Games & VR,0,1,0,0,1,1,8,31.0,26.0,1,15.0,1,1
73,Utility-token,Cayman Islands,other,Privacy & Security,0,1,0,1,0,37,5,5.0,10.0,0,11.0,1,0
74,Security,Singapore,joint-stock corporation,Finance,0,1,1,0,1,1,9,19.0,6.0,1,22.0,1,0
75,Security,Singapore,joint-stock corporation,Trading & Exchanges,0,1,1,0,1,59,20,121.0,14.0,1,71.0,0,0
76,Utility-token,United States,joint-stock corporation,Marketplaces,0,1,1,0,1,15,3,2.0,10.0,1,23.0,1,3
77,Cryptocurrency,other,other,Payments,0,1,1,0,0,30,7,2.0,3.0,1,21.0,0,0
78,New Blockchain,Gibraltar,joint-stock corporation,Video Games & VR,0,1,0,1,1,30,80,67.0,19.0,1,29.0,1,1
79,Utility-token,United States,joint-stock corporation,Marketplaces,0,1,1,1,1,1,12,63.0,20.0,1,25.0,1,2
80,New Blockchain,other,joint-stock corporation,Payments,0,1,0,1,1,30,33,10.0,31.0,1,127.0,1,0
81,Utility-token,United Kingdom,joint-stock corporation,Marketplaces,0,1,0,1,1,15,7,11.0,1.0,1,23.0,1,0
82,Utility-token,United Kingdom,joint-stock corporation,Trading & Exchanges,0,1,0,0,1,31,6,14.0,15.0,1,19.0,1,0
83,Utility-token,Singapore,joint-stock corporation,Travel & Tourisim,0,1,0,1,1,29,10,171.0,9.0,1,34.0,0,0
84,Security,other,other,Agriculture,0,1,0,0,0,38,10,20.0,0.0,0,16.0,0,0
85,Utility-token,Singapore,joint-stock corporation,Marketplaces,0,1,0,1,1,8,9,7.0,27.0,1,18.0,1,1
86,Utility-token,United Kingdom,joint-stock corporation,Blockchain Infrastructure,1,1,0,0,1,36,12,14.0,41.0,1,26.0,1,0
87,Utility-token,United States,limited liability partnership,Drugs & Healthcare,0,1,0,0,1,48,4,125.0,0.0,0,11.0,1,0
88,Utility-token,other,other,Communications,0,1,1,0,0,18,3,30.0,5.0,0,15.0,0,0
89,Utility-token,United States,joint-stock corporation,Marketplaces,0,1,0,0,1,2,4,-517.0,45.0,1,14.0,1,4
90,Cryptocurrency,Singapore,limited liability partnership,Video Games & VR,0,1,0,0,1,29,8,1.0,35.0,1,34.0,1,0
