,name_other,name_cmc,ticker_symbol_cmc,token_type,vc_support_blockchain_specialist,vc_support_general,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active
281,LATOKEN,LATOKEN,LA,Security,No,No,Cayman Islands,joint-stock corporation,Finance,0,1.0,0,1,1,50,22.0,15.0,,1,40.0,1
282,LeadCoin (LDC),Leadcoin,LDC,Utility-token,No,No,Gibraltar,joint-stock corporation,Commerce & Advertising,0,1.0,0,1,1,1,14.0,11.0,,1,55.0,0
283,Leverj,Leverj,LEV,Utility-token,No,No,Seychelles,unknown,Trading & Exchanges,0,1.0,0,0,0,30,6.0,37.0,14.0,0,29.0,1
286,Lisk,Lisk,LSK,New Blockchain,No,No,unknown,unknown,Blockchain Infrastructure,0,1.0,0,0,0,29,2.0,16.0,6.0,0,,1
287,LOCIcoin,LOCIcoin,LOCI,Utility-token,No,Edison Partners; Center for Innovative Technology; Torian Capital,United States,joint-stock corporation,Search,0,1.0,0,0,1,148,17.0,41.0,1.0,1,32.0,0
288,Loopring,Loopring,LRC,Utility-token,No,No,unknown,unknown,Trading & Exchanges,0,1.0,1,1,0,16,12.0,14.0,36.0,0,12.0,1
289,Lunyr,Lunyr,LUN,Utility-token,No,No,United States,joint-stock corporation,Content Management,0,1.0,0,0,1,31,3.0,3.0,3.0,1,21.0,1
291,Lykke,Lykke,LKK,Security,No,No,Switzerland,joint-stock corporation,Trading & Exchanges,0,1.0,1,1,1,28,15.0,35.0,3.0,0,19.0,0
292,Lympo (LYM),Lympo,LYM,Utility-token,No,No,Estonia,joint-stock corporation,Health,0,1.0,1,1,1,12,11.0,1.0,18.0,1,29.0,1
293,Maecenas,Maecenas,ART,Utility-token,Pantera Capital,Polytech ecosystem venures,United Kingdom,limited liability partnership,Art & Music,0,1.0,0,0,1,33,8.0,11.0,15.0,1,19.0,1
297,Matchpool,Matchpool,GUP,Utility-token,No,No,Switzerland,limited liability partnership,Social Networks,0,1.0,0,0,1,4,6.0,7.0,6.0,1,10.0,0
298,Matryx,Matryx,MTX,Utility-token,No,No,United States,joint-stock corporation,Video Games & VR,0,1.0,0,0,1,69,7.0,43.0,,0,8.0,1
301,MCAP,MCAP,MCAP,Security,No,No,unknown,unknown,Finance,0,1.0,0,1,0,31,,3.0,17.0,1,18.0,1
303,MediBloc,MediBloc [QRC20],MED,Utility-token,No,No,Gibraltar,joint-stock corporation,Drugs & Healthcare,0,1.0,0,1,1,28,10.0,7.0,,1,30.0,1
305,Medicalchain,Medicalchain,MTN,Utility-token,No,No,United Kingdom,joint-stock corporation,Drugs & Healthcare,0,1.0,0,1,1,29,15.0,-25.0,24.0,1,42.0,1
307,Melonport,Melon,MLN,Utility-token,No,No,Switzerland,joint-stock corporation,Finance,0,1.0,0,0,1,1,3.0,7.0,3.0,0,7.0,1
308,Mercury Protocol,Mercury Protocol,GMT,Utility-token,No,No,United States,limited liability partnership,Communications,0,1.0,1,1,1,31,15.0,-29.0,10.0,0,17.0,1
313,MicroMoney,MicroMoney,AMM,Cryptocurrency,No,No,Singapore,joint-stock corporation,Finance,0,1.0,0,0,1,35,13.0,30.0,14.0,1,76.0,1
314,MobileGo,MobileGo,MGO,Utility-token,No,No,United States,joint-stock corporation,Video Games & VR,0,1.0,0,0,1,30,,18.0,53.0,1,32.0,0
315,Mobius,Mobius,MOBI,New Blockchain,Nirvana Capital,Camp One Ventures,Cayman Islands,joint-stock corporation,Communications,0,1.0,0,1,1,1,3.0,2.0,39.0,0,38.0,1
318,Modum,Modum,MOD,Security,No,No,Switzerland,joint-stock corporation,Drugs & Healthcare,0,1.0,1,1,1,22,19.0,31.0,15.0,1,20.0,1
320,Monaco,MCO,MCO,Cryptocurrency,No,No,Switzerland,limited liability partnership,Payments,0,1.0,0,0,1,32,4.0,15.0,27.0,1,32.0,0
321,Monetha,Monetha,MTH,Utility-token,No,No,Switzerland,limited liability partnership,Payments,0,1.0,0,0,1,34,10.0,-24.0,29.0,1,47.0,1
322,Mothership,Mothership,MSP,Utility-token,No,No,Estonia,joint-stock corporation,Trading & Exchanges,0,1.0,0,1,1,22,5.0,0.0,5.0,0,9.0,1
325,Musiconomi,Musiconomi,MCI,Utility-token,No,No,Cayman Islands,unknown,Content Management,0,1.0,0,1,0,31,6.0,29.0,5.0,1,0.0,0
326,MyBit Token,MyBit Token,MYB,Security,No,No,Switzerland,foundation,Finance,0,1.0,0,0,1,31,6.0,-7.0,3.0,0,16.0,1
327,Mysterium,Mysterium,MYST,Utility-token,No,No,Switzerland,unknown,Privacy & Security,0,1.0,0,0,0,1,8.0,15.0,17.0,1,32.0,1
330,NAGA,NAGA,NGC,Utility-token,No,No,Germany,joint-stock corporation,Payments,0,1.0,0,1,1,27,26.0,8.0,65.0,1,79.0,1
331,NapoleonX (NPX),NaPoleonX,NPX,Utility-token,No,No,France,limited liability partnership,Finance,0,1.0,1,1,1,38,11.0,21.0,12.0,1,40.0,0
332,Neumark,Neumark,NEU,Security,No,No,Germany,limited liability partnership,Finance,0,1.0,0,1,1,31,15.0,12.0,26.0,0,62.0,1
334,Neuromation,Neurotoken,NTK,Utility-token,No,No,Estonia,joint-stock corporation,Data Analytics,0,1.0,0,0,1,1,8.0,44.0,56.0,1,36.0,1
336,Nimiq,Nimiq Exchange Token,NET,New Blockchain,No,No,British Virgin Islands,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,0,1,31,13.0,-13.0,12.0,1,9.0,0
339,Nitro,Nitro,NOX,Utility-token,No,No,British Virgin Islands,unknown,Video Games & VR,0,1.0,0,0,0,26,12.0,24.0,3.0,1,43.0,0
341,NVO,NVO,NVST,Security,No,No,unknown,unknown,Trading & Exchanges,0,1.0,1,0,0,36,3.0,13.0,8.0,1,15.0,0
342,OAX,OAX,OAX,Security,No,No,Hong Kong,joint-stock corporation,Trading & Exchanges,0,1.0,1,1,1,13,15.0,27.0,14.0,0,23.0,1
343,OmiseGO,OmiseGO,OMG,Cryptocurrency,Pantera Capital; Kenetic Capital; Nirvana Capital,SBI Investment; SMDV; SMBC; Golden Gate Ventures; Ascend Capital; East Ventures; Krungsri; 500 Startups,Singapore,joint-stock corporation,Payments,0,1.0,0,0,1,21,5.0,17.0,27.0,1,16.0,1
345,Opus,Opus,OPT,Utility-token,No,No,United Kingdom,joint-stock corporation,Content Management,0,1.0,1,0,1,36,10.0,5.0,6.0,1,42.0,1
348,OriginTrail,OriginTrail,TRAC,Utility-token,No,No,Slovenia,limited liability partnership,Provenance & Notary,0,1.0,1,1,1,1,9.0,8.0,19.0,1,27.0,1
349,Oxycoin,Oxycoin,OXY,Cryptocurrency,No,No,Netherlands,limited liability partnership,Finance,0,1.0,0,0,1,31,5.0,40.0,6.0,1,27.0,1
352,Paragon,Paragon,PRG,Utility-token,No,No,United States,joint-stock corporation,Real Estate,1,1.0,1,0,1,31,12.0,11.0,,0,44.0,0
353,Patientory,Patientory,PTOY,Utility-token,No,StartUp Health; Boomtown Accelerator; MedTech Innovator,United States,joint-stock corporation,Drugs & Healthcare,0,1.0,0,0,1,29,7.0,-22.0,11.0,1,19.0,1
354,Peerplays,Peerplays,PPY,Security,No,No,Canada,other,Gambling & Betting,0,1.0,1,0,1,80,4.0,30.0,7.0,1,12.0,0
356,Pillar,Pillar,PLR,Utility-token,No,No,Switzerland,joint-stock corporation,Payments,0,1.0,0,0,1,3,4.0,7.0,23.0,1,38.0,1
357,Playkey,Playkey,PKT,Utility-token,Uncharted Capital,Clarsia Investments; Internet Initiatives Development Fund,Cayman Islands,joint-stock corporation,Video Games & VR,0,1.0,0,1,1,30,45.0,20.0,7.0,1,37.0,1
360,Po.et,Po.et,POE,Utility-token,Fenbushi Capital; BTC Labs,No,Singapore,joint-stock corporation,Content Management,0,1.0,0,0,1,1,8.0,24.0,11.0,1,26.0,1
361,Polybius,Polybius,PLBT,Security,No,No,Estonia,foundation,Finance,0,1.0,0,1,1,36,12.0,1.0,31.0,1,25.0,1
362,Power Ledger,Power Ledger,POWR,Utility-token,No,No,Australia,joint-stock corporation,Energy & Utilities,0,1.0,0,0,1,25,29.0,26.0,26.0,1,34.0,1
363,Primalbase Token,Primalbase Token,PBT,Utility-token,No,No,unknown,unknown,Real Estate,0,1.0,1,0,0,31,15.0,1.0,8.0,1,10.0,1
365,Privatix,Privatix,PRIX,Utility-token,No,No,Gibraltar,joint-stock corporation,Communications,0,1.0,0,1,1,30,11.0,0.0,3.0,1,75.0,1
366,Propy,Propy,PRO,Utility-token,No,No,United States,joint-stock corporation,Real Estate,0,1.0,0,0,1,55,11.0,4.0,12.0,0,31.0,1
370,Publica,Publica,PBL,Utility-token,No,No,unknown,unknown,Content Management,0,1.0,0,0,0,31,21.0,-8.0,1.0,0,20.0,1
372,Pundi X,Pundi X,NPXS,Utility-token,No,No,Isle of Man,limited liability partnership,Payments,0,1.0,0,1,1,2,29.0,4.0,49.0,1,38.0,1
373,QASH,QASH,QASH,Utility-token,No,Jafco; B Dash Ventures; SBI Investment; Mistletoe; Digital Garage,Singapore,joint-stock corporation,Finance,0,1.0,0,1,1,3,33.0,13.0,87.0,1,73.0,1
374,Qbao,Qbao,QBT,Utility-token,No,No,Singapore,foundation,Social Networks,0,1.0,0,1,1,2,,13.0,12.0,1,40.0,1
377,QLINK,QLC Chain,QLC,Utility-token,District 13,No,Hong Kong,joint-stock corporation,Communications,0,1.0,0,1,1,32,13.0,-21.0,21.0,1,34.0,1
378,Qtum,Qtum,QTUM,New Blockchain,Kenetic Capital; Nirvana Capital,No,Singapore,unknown,Blockchain Infrastructure,0,1.0,0,0,0,10,30.0,64.0,15.0,1,27.0,1
379,Raiden Network Token,Raiden Network Token,RDN,Cryptocurrency,Nirvana Capital,No,Liechtenstein,other,Payments,0,1.0,0,1,1,15,11.0,7.0,32.0,0,0.0,1
381,REAL,REAL,REAL,Security,No,No,Singapore,joint-stock corporation,Real Estate,0,1.0,0,0,1,31,6.0,8.0,11.0,1,38.0,1
385,Red Pulse,Red Pulse Phoenix,PHX,Utility-token,Badwater Capital,No,Hong Kong,joint-stock corporation,Finance,0,1.0,0,1,1,1,3.0,20.0,15.0,1,31.0,1
389,Rentberry (BERRY),Rentberry,BERRY,Utility-token,No,JadeValue; 808 Ventures; Zing Capital; Beechwood Ventures,Gibraltar,joint-stock corporation,Real Estate,0,1.0,0,1,1,86,23.0,38.0,,1,57.0,1
392,Request Network,Request Network,REQ,Cryptocurrency,No,YCombinator,Switzerland,foundation,Payments,0,1.0,1,1,1,3,6.0,5.0,34.0,1,23.0,1
393,Restart Energy,Restart Energy MWAT,MWAT,Utility-token,No,No,Romania,joint-stock corporation,Energy & Utilities,0,1.0,0,1,1,29,14.0,-25.0,30.0,1,89.0,0
394,Rialto,Rialto,XRL,Security,No,No,Malta,joint-stock corporation,Trading & Exchanges,0,1.0,0,1,1,4,8.0,11.0,10.0,1,25.0,0
395,Ripio Credit Network,Ripio Credit Network,RCN,Utility-token,Tim Draper; Pantera Capital; Fenbushi Capital; DCG; Huiyin Blockchain Ventures; Medici Ventures; Boost VC; Barry Silbert,Funders Club,Cayman Islands,joint-stock corporation,Finance,0,1.0,0,0,1,18,12.0,-15.0,38.0,1,26.0,1
397,Rivetz,Rivetz,RVT,Utility-token,No,No,Cayman Islands,joint-stock corporation,Privacy & Security,0,1.0,0,0,1,32,8.0,15.0,17.0,0,34.0,1
398,Santiment Network Token,Santiment Network Token,SAN,Utility-token,No,No,Switzerland,joint-stock corporation,Trading & Exchanges,0,1.0,0,0,1,2,8.0,7.0,15.0,1,22.0,1
400,Selfkey,Selfkey,KEY,Utility-token,No,Accenture Fintech Lab Accelerator; SCB Digital Ventures; Cyberport Accelerator,Mauritius,limited liability partnership,Identity & Reputation,0,1.0,0,1,1,1,48.0,1.0,22.0,1,29.0,1
405,Sharpe Capital,Sharpe Platform Token,SHP,Utility-token,No,No,Hong Kong,joint-stock corporation,Finance,0,1.0,1,1,1,85,5.0,35.0,4.0,1,55.0,0
406,Simple Token,OST,OST,Utility-token,CM Crypto Capital; Hashed,Correlation Ventures; Greycroft; Vectr Ventures; 500 Startups,Hong Kong,joint-stock corporation,Commerce & Advertising,0,1.0,0,1,1,18,8.0,18.0,22.0,1,36.0,1
407,SingularDTV,SingularDTV,SNGLS,Security,No,No,Switzerland,limited liability partnership,Events & Entertainment,0,1.0,0,0,1,28,4.0,-26.0,6.0,1,28.0,0
408,SIRIN LABS,SIRIN LABS Token,SRN,Utility-token,No,Singulariteam,Switzerland,joint-stock corporation,Communications,0,1.0,0,0,1,14,41.0,3.0,158.0,1,33.0,1
409,SkinCoin,SkinCoin,SKIN,Utility-token,No,No,Hong Kong,joint-stock corporation,Video Games & VR,0,1.0,0,0,1,31,6.0,0.0,3.0,1,18.0,1
411,Smart Investment Fund Token,Smart Investment Fund Token,SIFT,Security,No,No,United Kingdom,joint-stock corporation,Finance,0,1.0,1,0,1,46,2.0,14.0,2.0,0,21.0,0
412,SmartMesh,SmartMesh,SMT,Utility-token,No,No,Singapore,Joint-stock corporation,Communications,0,1.0,0,0,1,33,5.0,11.0,17.0,0,19.0,1
418,Sociall,Sociall,SCL,Utility-token,No,No,Australia,joint-stock corporation,Social Networks,0,1.0,0,0,1,50,5.0,4.0,6.0,1,22.0,1
419,SONM,SONM,SNM,Utility-token,No,No,Singapore,joint-stock corporation,Blockchain Infrastructure,0,1.0,1,0,1,5,21.0,-1.0,47.0,1,42.0,1
421,SophiaTX,SophiaTX,SPHTX,Utility-token,No,No,Switzerland,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,1,1,11,10.0,9.0,23.0,0,44.0,0
422,spectiv,Spectiv,SIG,Utility-token,No,No,Mauritius,joint-stock corporation,Commerce & Advertising,0,1.0,1,1,1,25,12.0,86.0,11.0,1,41.0,1
424,Spectre,Spectre.ai Utility Token,SXUT,Utility-token,No,No,Cayman Islands,joint-stock corporation,Trading & Exchanges,0,1.0,0,1,1,24,10.0,33.0,27.0,1,23.0,1
425,Sphre AIR ,Sphre AIR ,XID,unknown,No,No,unknown,unknown,Identity & Reputation,0,1.0,0,0,0,30,5.0,11.0,0.0,0,,0
427,SportyCo,SportyCo,SPF,Security,No,No,United Kingdom,joint-stock corporation,Finance,1,1.0,0,1,1,20,10.0,3.0,5.0,1,22.0,0
429,Starbase,Starbase,STAR,Security,No,No,Switzerland,limited liability partnership,Finance,0,1.0,1,1,1,11,4.0,26.0,9.0,1,58.0,1
435,Starta,Starta,STA,Security,No,Starta Accelerator; Bank Saint Petersburg Venture Arm,Singapore,joint-stock corporation,Finance,0,1.0,0,0,1,2,4.0,13.0,4.0,1,23.0,1
441,Status,Status,SNT,Utility-token,Kenetic Capital,No,Switzerland,limited liability partnership,Blockchain Infrastructure,0,1.0,0,1,1,2,12.0,7.0,101.0,1,35.0,1
445,Storiqa,Storiqa,STQ,Cryptocurrency,No,No,Hong Kong,joint-stock corporation,Commerce & Advertising,0,1.0,0,1,1,64,25.0,44.0,30.0,0,40.0,0
446,Storj,Storj,STORJ,Utility-token,No,Qualcomm Ventures; Techstars; Google Ventures,United States,joint-stock corporation,Data Storage,0,1.0,0,0,1,22,12.0,25.0,30.0,1,37.0,1
447,Storm,Storm,STORM,Utility-token,No,No,United States,joint-stock corporation,Video Games & VR,0,1.0,0,1,1,31,13.0,13.0,56.0,0,20.0,1
448,Stox,Stox,STX,Utility-token,No,No,Gibraltar,joint-stock corporation,Gambling & Betting,1,1.0,0,0,1,2,19.0,2.0,30.0,1,57.0,1
452,Substratum,Substratum,SUB,Utility-token,No,No,United States,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,0,1,39,7.0,11.0,14.0,1,18.0,1
456,SunContract,SunContract,SNC,Utility-token,No,No,Slovenia,unknown,Energy & Utilities,0,1.0,0,1,0,28,13.0,-19.0,2.0,1,24.0,1
457,Suretly,Suretly,SUR,Security,No,Starta Accelerator,Singapore,joint-stock corporation,Finance,0,1.0,0,0,1,34,10.0,19.0,3.0,1,19.0,0
458,SwissBorg,SwissBorg,CHSB,Security,No,No,Switzerland,joint-stock corporation,Finance,0,1.0,1,1,1,35,15.0,24.0,,1,33.0,1
459,Synereo,Synereo,AMP,Utility-token,No,NFX,Israel,joint-stock corporation,Social Networks,0,1.0,0,0,1,30,,-319.0,5.0,1,65.0,1
461,TaaS,TaaS,TAAS,Security,No,No,Singapore,joint-stock corporation,Trading & Exchanges,0,1.0,0,0,1,32,7.0,-28.0,7.0,1,17.0,0
462,Target Coin,Target Coin,TGT,Security,No,No,Singapore,unknown,Finance,0,1.0,0,0,0,48,,29.0,25.0,1,9.0,1
465,TE-FOOD (TFD),TE-FOOD,TFD,Utility-token,No,No,Germany,limited liability partnership,Provenance & Notary,0,1.0,0,1,1,1,14.0,16.0,19.0,1,50.0,0
466,Telcoin,Telcoin,TEL,Utility-token,No,No,Singapore,joint-stock corporation,Payments,0,1.0,0,1,1,21,11.0,16.0,25.0,0,50.0,1
467,TenX,TenX,PAY,Security,Fenbushi Capital; Kenetic Capital,No,Singapore,joint-stock corporation,Payments,0,1.0,0,0,1,1,9.0,3.0,105.0,1,51.0,1
469,Tezos,Tezos,XTZ,New Blockchain,Draper Associates; Winklevoss Capital,No,Switzerland,foundation,Blockchain Infrastructure,0,1.0,1,0,1,14,10.0,80.0,220.0,1,17.0,1
470,Tierion,Tierion,TNT,Utility-token,Blockchain Capital; Digital Currency Group,No,United States,joint-stock corporation,Privacy & Security,0,1.0,0,1,1,2,3.0,30.0,25.0,0,34.0,1
472,TIES Network,Ties.DB,TIE,Cryptocurrency,No,No,Netherlands,limited liability partnership,Social Networks,0,1.0,0,0,1,28,8.0,22.0,9.0,1,59.0,0
473,Time New Bank,Time New Bank,TNB,Utility-token,No,Everest;  Link VC,Cayman Islands,joint-stock corporation,Finance,0,1.0,0,1,1,17,4.0,3.0,14.0,1,25.0,1
474,Tokenbox,Tokenbox,TBX,Security,No,No,Cayman Islands,limited liability partnership,Finance,0,1.0,0,0,1,15,8.0,57.0,,1,35.0,1
475,TokenCard,TokenCard,TKN,Security,No,No,United Kingdom,joint-stock corporation,Payments,0,1.0,0,1,1,1,8.0,5.0,13.0,1,29.0,1
477,TokenPay,TokenPay,TPAY,Cryptocurrency,Huntingdon Investment Corp,No,British Virgin Islands,unknown,Payments,0,1.0,0,1,0,20,7.0,100.0,34.0,1,71.0,0
478,Tomocoin (TOMO),TomoChain,TOMO,New Blockchain,Signum Capital; Connect Capital; Coefficient Ventures,No,Singapore,joint-stock corporation,Blockchain Infrastructure,0,1.0,1,1,1,1,6.0,7.0,8.0,1,37.0,1
479,Trade Token,Trade Token,TIO,Utility-token,No,No,Switzerland,joint-stock corporation,Trading & Exchanges,0,1.0,0,1,1,33,12.0,5.0,42.0,1,35.0,0
480,TraDove (BBC),TraDove B2BCoin,BBC,Cryptocurrency,No,No,United States,joint-stock corporation,Social Networks,0,1.0,0,1,1,28,25.0,61.0,52.0,1,20.0,1
486,TrueFlip,TrueFlip,TFL,Security,Pantera Capital,No,Costa Rica,limited liability partnership,Gambling & Betting,0,1.0,1,1,1,30,7.0,27.0,5.0,1,34.0,0
487,Unikoin Gold,Unikoin Gold,UKG,Utility-token,Blockchain Capital; Alphabit; Pantera Capital,Draper Dragon; Rubicon Venture Capital; Advancit Capital; Indicator Ventures,Bermuda,joint-stock corporation,Gambling & Betting,1,1.0,0,1,1,31,18.0,15.0,48.0,0,11.0,0
488,Universa,Universa,UTNP,New Blockchain,No,No,Lithuania,unknown,Blockchain Infrastructure,0,1.0,0,1,0,44,20.0,69.0,,1,18.0,0
489,Uptoken,UpToken,UP,Cryptocurrency,No,No,Cayman Islands,joint-stock corporation,Payments,0,1.0,0,0,1,61,4.0,96.0,19.0,1,13.0,1
494,Uquid Coin,Uquid Coin,UQC,unknown,No,No,United Kingdom,foundation,Payments,0,1.0,0,0,1,37,9.0,36.0,18.0,1,,1
495,UTRUST,UTRUST,UTK,Cryptocurrency,No,No,Switzerland,joint-stock corporation,Payments,0,1.0,0,1,1,19,15.0,39.0,21.0,1,38.0,1
496,Veritaseum,Veritaseum,VERI,Utility-token,No,No,United States,limited liability partnership,Finance,0,1.0,0,0,1,32,4.0,13.0,0.0,1,0.0,1
497,Vezt,Vezt,VZT,Utility-token,No,Binary Capital; Global Trust Group,United States,joint-stock corporation,Art & Music,0,1.0,0,0,1,30,7.0,40.0,2.0,0,21.0,0
498,Viberate,Viberate,VIB,Utility-token,No, ABC Accelerator,Slovenia,joint-stock corporation,Art & Music,0,1.0,0,0,1,1,8.0,33.0,11.0,1,34.0,1
499,vSlice,vSlice,VSL,Security,No,No,unknown,unknown,Gambling & Betting,0,1.0,0,0,0,28,4.0,7.0,2.0,1,6.0,0
500,WaBi,WaBi,WABI,Cryptocurrency,No,No,Singapore,joint-stock corporation,Provenance & Notary,0,1.0,0,1,1,62,10.0,-47.0,12.0,0,40.0,1
501,Wagerr,Wagerr,WGR,Utility-token,No,No,Belize,joint-stock corporation,Gambling & Betting,0,1.0,0,0,1,21,5.0,14.0,11.0,1,34.0,1
502,Waves,Waves,WAVES,New Blockchain,No,No,Switzerland,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,0,1,50,2.0,2.0,16.0,0,11.0,1
504,WeTrust,WeTrust,TRST,Utility-token,No,No,United States,joint-stock corporation,Finance,0,1.0,0,0,1,42,11.0,8.0,5.0,1,40.0,1
505,Wings,Wings,WINGS,Security,No,No,Switzerland,foundation,Finance,0,1.0,0,0,1,50,12.0,5.0,2.0,0,21.0,1
507,XPA,XPA,XPA,unknown,No,No,unknown,unknown,Events & Entertainment,0,1.0,0,0,0,24,5.0,20.0,10.0,0,,1
508,ZenGold,ZenGold,ZENGOLD,Security,No,No,unknown,unknown,Commodities,0,1.0,0,0,0,1,,4.0,0.0,0,19.0,0
509,ZrCoin,ZrCoin,ZRC,Security,No,No,Russian Federation,limited liability partnership,Commodities,0,1.0,0,0,1,30,6.0,7.0,10.0,1,22.0,0
