,id,name,symbol,slug,rank,displayTV,is_active,first_historical_data,last_historical_data,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,platform
170,2675,Dock,DOCK,dock,642.0,1,1,2018-04-25T22:44:27.000Z,2022-10-28T09:59:00.000Z,,,,,,
171,2110,Dovu,DOV,dovu,1119.0,1,1,2017-10-28T00:29:25.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xac3211a5025414af2866ff09c23fc18bc97e79b1,
172,2164,DCORP,DRP,dcorp,,1,0,2017-11-09T22:04:29.000Z,2018-06-03T10:14:27.000Z,1027.0,Ethereum,ETH,ethereum,0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed,
173,2070,DomRaider,DRT,domraider,1957.0,1,1,2017-10-19T22:24:24.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x9af4f26941677c706cfecf6d3379ff01bb85d5ab,
174,13600,Decentralized Reit,DRT,decentralized-reit,,1,0,2021-11-01T03:15:04.000Z,2022-06-02T18:20:00.000Z,1839.0,BNB,BNB,bnb,0xa44A78E46217e82675F47dBbaa26f5651Bce8D7a,
175,1603,Databits,DTB,databits,,1,0,2017-03-30T21:24:43.000Z,2019-07-15T16:34:01.000Z,,,,,,
176,20083,Dotori,DTR,dotori,2687.0,1,1,2022-05-11T05:27:00.000Z,2022-10-28T09:57:00.000Z,,,,,,
177,2298,Dynamic Trading Rights,DTR,dynamic-trading-rights,,1,0,2017-12-20T20:49:49.000Z,2021-03-02T03:34:04.000Z,1027.0,Ethereum,ETH,ethereum,0xd234bf2410a0009df9c3c63b610c09738f18ccd7,
178,3055,EBCoin,EBC,ebcoin,,1,0,2018-08-03T19:24:24.000Z,2021-06-14T09:59:15.000Z,1027.0,Ethereum,ETH,ethereum,0x31f3d9d1bece0c033ff78fa6da60a6048f3e13c5,
179,1782,Ecobit,ECOB,ecobit,,1,0,2017-07-05T03:59:21.000Z,2020-10-23T03:14:00.000Z,,,,,,
180,2573,Electrify.Asia,ELEC,electrifyasia,1528.0,1,1,2018-03-09T17:59:20.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xd49ff13661451313ca1553fd6954bd1d9b6e02b9,
181,1625,Ethereum Movie Venture,EMV,ethereum-movie-venture,,1,0,2017-04-17T19:49:53.000Z,2018-07-18T07:14:09.000Z,1027.0,Ethereum,ETH,ethereum,0xB802b24E0637c2B87D2E8b7784C055BBE921011a,
182,2044,Enigma,ENG,enigma,2066.0,1,1,2017-10-13T01:09:37.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,
183,6585,Endless Board Game,ENG,endless-board-game,3245.0,1,1,2020-08-14T00:39:15.000Z,2022-10-28T09:59:00.000Z,1839.0,BNB,BNB,bnb,0x7eefb6aeb8bc2c1ba6be1d4273ec0758a1321272,
