name_other,name_cmc,ticker_symbol_cmc,ico_successful,soft_cap,hard_cap,cap_unit,cap_includes_presale,token_type,number_of_contributors,crowdsale_tokens_sold,total_number_of_tokens,token_standard,additional_token_emissions,crowdsale_token_price_min,crowdsale_token_price_max,crowdsale_actual_token_price_max,Crowdsale is auction,Has a presale,presale_tokens_sold,presale_token_price_min,presale_token_price_max,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Utility token enables decentralization,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share crowdsale investors (ex ante),Token share presale investors (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,Unsold tokens locked up,Lock up period unsold tokens (years),Team lockup period (weighted avg.),Presale lockup period (weighted avg.),vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Team size,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,address,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,ethereum_contract_address,ico_start_date,ico_end_date_planned,ico_end_date_actual,Amount raised in presale (USDm),Amount raised in crowdsale (USDm),Total amount raised (USDm),Total amount raised (USDm),BTC_ret_ico_period,Presale discount (%),Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,Percentage of hard cap raised (%),pct_of_crowdsale_target_raised,price_presale_avg,price_presale,price_crowdsale_avg,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,average_discount,Team tokens locked up,Presale tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Token share crowdsale investors (ex post),post_money_val_crowdsale,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,Legal entity is corporation or LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",lock_up_period_team_ep,presale_transparent,industry,(first) date,Time to listing (calendar days)
Agrello,Agrello,DLT,1,0,43316900,BTC,0,Utility-token,,,130271020,ERC-20,0,0,1,1,0,1,,,,1,35,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,,,,,No,No,0,5,1,0,neutral,joint-stock corporation,Estonia,"Valukoja 8, 11415 Tallinn, Estonia",0,0,0,0,0,1,0,0,0,0,0,Legal,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,7/16/17,8/17/17,8/17/17,,30,30,,1,,1,0,BTC,BTC,,,,,,0,23,0,0,0,,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,,,0,0,1,0,0,0,1,0,1,0,1,33,33,,0,Legal,9/9/17,23
AidCoin,AidCoin,AID,1,4214760,15102539,ETH,1,Cryptocurrency,,12000000,100000000,ERC-20,0,1,1,1,0,1,19999200,0,0,1,28,0,0,4,0,0,,1,0,1,0,1,0,0,0,0,1,0,0,1,0,No,Vulpem,0,25,0,1,medium,joint-stock corporation,Switzerland,"via Giuseppe Motta 10, 6830 Chiasso - Switzerland",0,0,0,0,0,1,1,0,0,1,1,Charity,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,1/16/18,2/1/18,1/16/18,9,7,16,16,0,17,1,1,ETH,ETH,107,100,0,0,1,1,0,0,0,0,4,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,62,0,0,0,1,0,1,1,0,1,0,1,1,17,1,1,Charity,1/24/18,8
Aigang,Aigang,AIX,1,0,30800250,ETH,1,Utility-token,,,29274567,ERC-20,0,0,0,0,0,1,7090000,0,0,1,32,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,,,0,,No,No,0,7,1,1,neutral,joint-stock corporation,Singapore,Superposition Technologies Pte. Ltd. 201721187N 22 North Canal Road #02-00,0,0,0,0,0,0,1,1,1,0,0,Insurance,0x1063ce524265d5a3a624f4914acd573dd89ce988,11/15/17,12/15/17,12/15/17,2,2,4,4,1,20,1,0,ETH,ETH,13,7,0,0,,0,13,0,0,0,,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,,,0,0,1,0,0,0,1,0,1,0,1,31,31,0,1,Insurance,1/11/18,27
AirSwap,AirSwap,AST,1,0,44980500,tokens,1,Utility-token,,42000000,500000000,ERC-20,0,0,0,0,0,1,104800000,0,0,1,13,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,3,,No,Kenetic Capital,1,8,1,0,high,joint-stock corporation,Hong Kong,unknown,0,0,0,1,0,1,0,1,0,0,0,Trading & Exchanges,0x27054b13b1b798b345b591a4d22e6562d47ea75a,10/10/17,10/12/17,10/10/17,,,,,0,30,1,0,tokens,tokens,,,,0,,0,20,0,0,0,,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,,0,0,1,0,0,0,0,0,1,0,1,1,3,2,0,Trading & Exchanges,10/17/17,7
AirToken,AirToken,AIR,1,15000000,21000000,USD,1,Utility-token,,,1491492558,ERC-20,0,0,0,0,0,1,,0,0,1,46,1,1,2,1,0,1,1,0,1,0,0,,,0,0,1,0,0,,,Right Side Capital Management; Techstars; Project 11 Ventures; NXT ventures; Launch Capital,No,0,8,0,0,medium,joint-stock corporation,United States,"207 South Street Suite 172 Boston, MA 02111",0,0,0,0,0,1,0,1,0,0,0,Finance,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,9/30/17,12/10/17,10/7/17,7,9,15,15,0,26,1,1,USD,USD,71,59,,0,,0,23,0,0,0,,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,,,0,0,1,0,0,0,1,0,1,0,1,8,72,,0,Finance,10/11/17,4
ALIS,ALIS,ALIS,1,3400289,36433750,ETH,1,Utility-token,,37604600,75209200,ERC-20,1,0,0,0,0,0,,,,1,26,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,,,1,,No,No,0,5,0,1,unknown,joint-stock corporation,Japan,"ALIS CO., Ltd., Kawara Bld.6F, 1-20-7, Jinnan, Shibuya-ku, Tokyo, 150-0041",0,0,0,0,0,0,0,0,0,0,0,Social Networks,0xea610b1153477720748dc13ed378003941d84fab,9/1/17,9/29/17,9/29/17,0,4,4,4,0,,1,1,ETH,ETH,10,10,,,0,0,31,0,0,0,31,1,,1,1,1,0,0,1,1,0,0,0,1,0,0,1,8,0,0,1,0,0,0,1,0,1,0,1,29,29,1,1,Social Networks,10/12/17,13
Ambrosus,Ambrosus,AMB,1,0,99746593,ETH,1,Utility-token,,328103000,1151773038,ERC-20,0,0,0,0,0,1,132606215,0,0,1,37,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,,,2,,No,No,0,21,1,1,high,limited liability partnership,Switzerland,"Gotthardstrasse 26, 6300 Zug",0,0,0,0,0,1,1,0,0,0,0,Provenance & Notary,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,9/17/17,10/17/17,10/20/17,24,33,56,56,1,30,1,0,ETH,ETH,56,43,0,0,0,0,0,0,0,0,60,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,114,0,0,1,0,0,0,1,0,0,1,1,34,31,2,1,Provenance & Notary,10/23/17,3
AppCoins,AppCoins,APPC,1,4054386,16854386,USD,0,Utility-token,3000,49000000,245000000,ERC-20,0,0,0,0,0,1,,0,0,1,45,1,1,2,1,0,1,1,1,1,0,1,0,0,0,1,0,0,,2,,Catagonia Limited,No,0,6,1,1,high,joint-stock corporation,Singapore,"30 Cecil St, #19-08, Prudential Tower, Singapore 049712.",0,0,0,0,0,1,1,1,0,0,1,Marketplaces,0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db,12/13/17,1/15/18,12/20/17,2,15,17,17,0,30,1,1,USD,USD,99,99,0,0,0,0,20,0,0,0,,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,76,0,0,1,0,0,0,1,0,1,0,1,8,34,2,0,Marketplaces,1/8/18,19
Aragon,Aragon,ANT,1,244329,,USD,0,Utility-token,,27500000,39609523,ERC-20,1,1,1,1,0,1,326280,1,1,1,39,1,1,0,0,0,1,1,0,1,0,,1,,0,0,1,1,1,1,0,No,No,1,2,0,0,high,foundation,Estonia,"Harju maakond, Tallinn, Kesklinna linnaosa, Roosikrantsi tn 2-K238, 10119",0,0,0,0,0,0,0,0,0,0,0,Blockchain Infrastructure,0x960b236a07cf122663c4303350609a66a7b288c0,5/17/17,6/14/17,5/17/17,0,25,25,25,0,45,1,0,USD,USD,,,1,1,1,1,34,0,0,0,34,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,36,0,0,1,0,0,0,1,1,0,0,0,1,29,,1,Blockchain Infrastructure,5/18/17,1
Arbidex (ABX),Arbidex,ABX,1,,17200000,tokens,1,Utility-token,,10000000,25000000,ERC-20,0,1,1,1,0,1,7228916,1,1,1,28,1,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,,,0,,No,No,1,6,0,0,low,joint-stock corporation,United Kingdom,"DEX Corp Ltd., 85 Great Portland Street, First Floor, London, United Kingdom W1W 7LT",0,0,0,0,0,1,1,1,0,0,0,Trading & Exchanges,0x9a794dc1939f1d78fa48613b89b8f9d0a20da00e,1/23/18,2/28/18,2/28/18,6,10,16,16,0,17,1,1,tokens,tokens,93,89,1,1,1,1,0,0,0,0,7,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,25,0,0,1,0,0,0,1,0,1,0,1,37,37,0,1,Trading & Exchanges,8/16/18,169
