name_other,name_cmc,ticker_symbol_cmc,ico_successful,soft_cap,hard_cap,cap_unit,cap_includes_presale,token_type,number_of_contributors,crowdsale_tokens_sold,total_number_of_tokens,token_standard,additional_token_emissions,crowdsale_token_price_min,crowdsale_token_price_max,crowdsale_actual_token_price_max,Crowdsale is auction,Has a presale,presale_tokens_sold,presale_token_price_min,presale_token_price_max,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Utility token enables decentralization,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share crowdsale investors (ex ante),Token share presale investors (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,Unsold tokens locked up,Lock up period unsold tokens (years),Team lockup period (weighted avg.),Presale lockup period (weighted avg.),vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Team size,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,address,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,ethereum_contract_address,ico_start_date,ico_end_date_planned,ico_end_date_actual,Amount raised in presale (USDm),Amount raised in crowdsale (USDm),Total amount raised (USDm),Total amount raised (USDm),BTC_ret_ico_period,Presale discount (%),Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,Percentage of hard cap raised (%),pct_of_crowdsale_target_raised,price_presale_avg,price_presale,price_crowdsale_avg,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,average_discount,Team tokens locked up,Presale tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Token share crowdsale investors (ex post),post_money_val_crowdsale,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,Legal entity is corporation or LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",lock_up_period_team_ep,presale_transparent,industry,(first) date,Time to listing (calendar days)
ATBCoin,ATBCoin,ATB,1,0,2805836,tokens,1,Cryptocurrency,,,50000000,No,1,0,0,0,0,0,,,,1,27,0,0,1,0,1,,,1,0,0,,,0,,0,1,0,0,,,No,No,0,5,1,0,high,limited liability partnership,United States,"ATBCoin LLC, 40 Wall Street, 28th floor New York , NY 10005 ",0,0,0,0,0,0,0,0,1,1,0,Payments,not applicable,6/12/17,7/12/17,7/12/17,0,,0,,0,,1,0,tokens,tokens,,,,,,0,10,0,0,0,,0,,0,1,1,0,0,0,0,0,0,0,0,1,0,,,0,0,0,1,0,1,1,0,0,1,1,31,31,,1,Payments,9/19/17,69
ATLANT,ATLANT,ATL,1,1500000,68946270,USD,1,Security,,7723853,54175041,ERC-20,0,1,1,1,0,1,5201188,0,0,1,40,1,1,1,0,1,,1,0,1,0,0,1,0,0,1,0,,,,,No,No,1,8,1,0,high,joint-stock corporation,British Virgin Islands,unknown,0,0,0,0,0,0,1,1,1,0,0,Real Estate,0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05,9/7/17,10/31/17,10/31/17,2,5,7,7,0,58,1,1,USD,USD,10,8,0,0,1,1,16,0,0,0,25,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,38,0,1,0,0,0,0,1,0,1,0,1,55,55,,1,Real Estate,11/1/17,1
Aventus,Aventus,AVT,1,10902391,21804783,tokens,1,Utility-token,,3000000,10000000,ERC-20,0,4,4,4,0,1,3000000,3,3,1,18,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,,,,,No,Global Advisors,1,,0,0,unknown,joint-stock corporation,United Kingdom,"Kemp House 160 City Road, London, United Kingdom, EC1V 2NX ",0,0,0,0,0,0,0,0,0,0,0,Events & Entertainment,0x0d88ed6e74bbfd96b831231638b66c05571e824f,9/6/17,9/13/17,9/6/17,9,11,20,20,0,16,1,1,tokens,tokens,92,86,3,3,4,4,0,0,1,1,8,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,36,0,0,1,0,0,0,0,0,1,0,1,1,8,,1,Events & Entertainment,9/6/17,0
aXpire,AXpire,AXPR,1,3000000,20000000,USD,1,Utility-token,,245000000,350000000,ERC-223,0,0,0,0,0,0,,,,1,24,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,,,,No,No,0,15,1,0,high,unknown,Singapore,unknown,0,0,0,0,0,1,0,1,0,0,0,Finance,0x9af2c6b1a28d3d6bc084bd267f70e90d49741d5b,1/8/18,3/22/18,1/12/18,0,20,20,20,0,,1,1,USD,USD,100,100,,,0,0,30,0,0,0,18,0,,1,0,0,0,0,1,1,0,0,0,0,1,1,1,29,0,0,1,0,0,0,1,0,0,0,,5,74,,1,Finance,,
B2BX,B2BX,B2B,1,5899500,29497500,EUR,1,Utility-token,,13415868,19822337,ERC-20,0,1,1,1,0,1,2442002,0,0,1,37,1,1,3,1,1,1,0,0,1,0,0,1,0,0,1,0,,,1,,No,No,0,21,1,1,high,limited liability partnership,United Kingdom,"3rd floor, fairgate House, 78 Oxford Street, London, United Kingdom, WC1A 1HB",0,0,0,0,0,0,1,1,0,1,0,Trading & Exchanges,0x5d51fcced3114a8bb5e90cdd0f9d682bcbcc5393,10/2/17,11/17/17,11/17/17,1,8,10,10,1,35,1,1,EUR,EUR,32,30,0,0,1,1,15,0,0,0,19,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,12,0,0,1,0,0,0,1,0,0,1,1,47,47,1,1,Trading & Exchanges,11/20/17,3
Banca (BANC),Banca,BANCA,1,,1000000,tokens,1,Utility-token,,,20000000000,ERC-20,0,,0,0,0,1,,,,0,44,0,0,0,0,0,0,0,0,1,0,,,,,0,1,0,0,,,No,No,0,8,1,1,high,joint-stock corporation,Singapore,"Bancatech foundation ltd, 6 Eu Tong Sen Street #12-17 The Central, Singapore 059817",0,0,0,0,0,1,1,1,0,0,0,Marketplaces,0x998b3b82bc9dba173990be7afb772788b5acb8bd,2/26/18,2/26/18,2/26/18,,,,,0,,1,0,tokens,tokens,,,,,,,,0,0,0,,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,,,0,0,1,0,0,0,0,0,1,0,1,1,1,,0,Marketplaces,3/19/18,21
Bancor,Bancor,BNT,1,0,,tokens,1,Utility-token,10885,39600000,79300000,ERC-20,0,4,4,4,0,0,,,,0,13,0,0,4,0,0,1,0,1,1,0,1,1,0,0,1,0,,,2,,No,Blockchain Capital; Draper Associates,0,9,1,1,high,foundation,Switzerland,"Bprotocol Stiftung, c/o Sielva Management SA, Gubelstrasse 11, 6300 Zug",1,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,6/12/17,6/26/17,6/12/17,0,159,159,159,0,,1,0,tokens,tokens,,,,,4,4,0,0,0,0,0,1,,1,1,1,0,1,1,1,1,0,1,0,1,1,0,319,0,0,1,0,0,0,1,1,0,0,0,1,15,2,1,Trading & Exchanges,6/18/17,6
Bankex,Bankex,BKX,1,15476800,108337600,ETH,1,Utility-token,,,400000000,ERC-20,0,1,2,2,0,1,,1,1,1,36,1,1,2,1,1,1,1,0,1,0,1,,,0,0,1,0,0,,,No,No,0,28,1,1,high,unknown,Cayman Islands,"BKX, PO Box 309, Ugland House, Grand Cayman, KY1-1104",0,0,0,0,0,1,1,0,0,0,0,Finance,0x45245bc59219eeaaf6cd3f382e078a461ff9de7b,11/28/17,12/28/17,12/26/17,20,54,74,74,0,29,1,1,ETH,ETH,69,61,,1,,1,9,1,0,0,,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,,,0,0,1,0,0,0,1,0,0,0,,29,31,,0,Finance,1/13/18,18
Basic Attention Token,Basic Attention Token,BAT,1,6307394,36042188,ETH,1,Utility-token,,1000000000,1500000000,ERC-20,0,0,0,0,0,0,,,,1,37,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,,Foundation Capital; Founders Fund; Propel Venture Partners; Danhua Capital,Huiyin Blockchain Venture; Pantera capital; Digital Currency Group; Digital Finance Group,0,12,1,1,high,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,0,0,0,0,0,0,Commerce & Advertising,0x0d8775f648430679a709e98d2b0cb6250d2887ef,5/31/17,5/31/17,5/31/17,0,36,36,36,0,,1,1,ETH,ETH,100,100,,,0,0,0,0,0,0,0,1,,1,1,0,1,0,1,1,1,1,1,0,1,1,1,54,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,Commerce & Advertising,6/1/17,1
Betmaster,,,1,0,100000000,tokens,1,Security,,6670017,6670017,ERC-20,0,1,1,1,0,0,,,,1,40,1,1,2,1,1,,0,0,0,0,0,1,0,0,0,1,0,0,,,No,No,0,9,0,1,unknown,joint-stock corporation,Estonia,"Reinvent Baltics OÜ Harju maakond, Tallinn, Kesklinna linnaosa, Roosikrantsi tn 2-K331, 10119 ",0,0,0,0,0,1,0,0,1,0,0,Gambling & Betting,unknown,9/6/17,12/31/17,12/31/17,0,5,5,5,1,,1,0,tokens,tokens,5,5,,,1,1,23,0,0,1,21,0,,1,1,1,0,0,1,1,0,0,0,1,0,1,1,5,0,1,0,0,0,0,0,0,1,0,1,117,117,,1,Gambling & Betting,,
Bitbounce,Credo,CREDO,1,10096667,20096667,USD,0,Utility-token,,118545571,1374729257,ERC-20,0,0,0,0,0,1,26000000,0,0,0,36,1,1,3,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,,,No,Tim Draper,0,10,0,1,high,joint-stock corporation,United States,"Turing Technology, Inc., 655 Oak Grove Ave #1, Menlo Park, CA 94025",0,0,0,0,0,0,0,0,0,0,1,Communications,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,7/26/17,7/26/17,8/29/17,0,12,12,12,1,96,1,1,USD,USD,59,59,0,0,0,0,0,0,0,1,17,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,136,0,0,1,0,0,0,1,0,1,0,1,35,1,,1,Communications,9/13/17,15
BitClave,BitClave,CAT,1,0,25688493,USD,1,Cryptocurrency,,50000000,2000000000,ERC-20,0,0,0,0,0,1,,0,0,1,51,1,1,1,0,0,,1,1,1,0,1,0,0,0,1,0,0,,0,,No,No,0,12,1,1,high,joint-stock corporation,Singapore,unknown,0,0,0,0,0,1,1,1,1,1,1,Search,0x1234567461d3f8db7496581774bd869c83d51c93,11/29/17,11/29/17,12/29/17,22,4,26,26,0,65,1,0,USD,USD,100,100,,0,0,0,0,0,0,0,,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,142,0,0,0,1,0,1,1,0,1,0,1,31,1,0,0,Search,1/2/18,4
BitDegree,BitDegree,BDG,1,376795,22607700,ETH,1,Utility-token,,336600000,660000000,ERC-20,0,0,0,0,0,0,,,,1,36,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,2,,No,No,0,16,1,1,neutral,joint-stock corporation,Lithuania,"Veiverių str. 139, Kaunas",0,0,0,0,0,1,0,0,1,1,1,Online-learning,0x1961b3331969ed52770751fc718ef530838b6dee,11/30/17,12/29/17,12/29/17,0,23,23,23,0,,1,1,ETH,ETH,100,100,,,0,0,13,0,0,0,11,1,,1,1,1,0,0,1,1,0,0,0,0,0,1,1,44,0,0,1,0,0,0,1,0,1,0,1,30,30,2,1,Online-learning,1/12/18,14
BitDice,BitDice,CSNO,1,2000000,12176726,tokens,0,Security,,53491744,100000000,ERC-223,0,0,0,0,1,1,16508256,0,0,1,24,1,1,1,1,1,,1,1,1,0,0,1,0,0,0,1,0,0,,,No,No,0,,0,0,unknown,joint-stock corporation,Costa Rica,unknown,0,0,0,0,0,0,0,0,0,0,0,Gambling & Betting,0x29d75277ac7f0335b2165d0895e8725cbf658d73,8/15/17,9/15/17,9/15/17,2,7,9,9,0,17,1,0,tokens,tokens,71,66,0,0,0,0,13,0,1,1,15,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,13,0,1,0,0,0,0,0,0,1,0,1,32,32,,1,Gambling & Betting,9/25/17,10
bitJob,bitJob,STU,1,684315,10644900,ETH,1,Utility-token,,4516360,200000000,ERC-20,0,0,0,0,0,1,4700042,0,0,1,27,0,0,1,0,1,0,1,0,0,0,0,,,0,0,1,1,1,,,No,No,0,14,0,0,high,joint-stock corporation,Gibraltar,unknown,0,0,0,0,0,0,1,0,1,0,0,Marketplaces,0x0371a82e4a9d0a4312f3ee2ac9c6958512891372,9/12/17,10/12/17,10/12/17,,,,,0,29,1,1,ETH,ETH,,,0,0,,0,17,0,0,0,,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,,0,0,1,0,0,0,0,0,1,0,1,31,31,,0,Marketplaces,11/15/17,34
Bitquence,Ethos,ETHOS,1,6294400,23604000,ETH,1,Utility-token,,,222295208,ERC-20,0,0,0,0,0,0,,,,1,24,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,,,,,No,No,0,10,0,0,unknown,joint-stock corporation,Singapore,BITQUENCE PTE. LTD. 101 CECIL STREET #18-12 TONG ENG BUILDING SINGAPORE 069533,0,0,0,0,0,1,1,1,0,0,0,Finance,0x5af2be193a6abca9c8817001f45744777db30756,6/28/17,7/16/17,7/16/17,0,,0,,0,,1,1,ETH,ETH,,,,,,0,73,0,0,0,,0,,1,1,1,0,0,1,1,0,0,0,1,0,1,,,0,0,1,0,0,0,0,0,1,0,1,19,19,,1,Finance,7/18/17,2
Blackmoon Crypto,Blackmoon,BMC,1,0,30000000,USD,1,Security,,19390995,60000000,ERC-20,0,1,1,1,0,1,10609005,1,1,1,10,1,0,3,1,0,,1,0,0,0,1,0,0,0,1,0,,,2,,No,No,0,31,0,1,high,joint-stock corporation,Cayman Islands,"Harbour Place, 103 South Church Street, P.O. Box 10240, Grand Cayman, KY1-1002, Cayman Islands",0,0,0,0,0,1,1,1,0,0,0,Finance,0xdf6ef343350780bf8c3410bf062e0c015b1dd671,9/12/17,10/11/17,9/13/17,11,19,30,30,0,9,1,0,USD,USD,100,100,1,1,1,1,9,0,0,0,9,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,60,0,1,0,0,0,0,0,0,1,0,1,2,30,2,1,Finance,9/20/17,7
Block Array,Block Array,ARY,1,2504682,8704681,USD,1,Utility-token,,41590568,88409933,ERC-20,0,0,0,0,0,1,11455392,,,1,33,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,3,,No,No,0,7,1,0,high,limited liability partnership,United States,unknown,0,0,0,0,0,1,0,1,0,0,0,Data Analytics,0xa5f8fc0921880cb7342368bd128eb8050442b1a1,12/22/17,1/14/18,1/8/18,,8,8,,0,,1,1,USD,USD,,,,,0,0,23,0,0,0,35,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,18,0,0,1,0,0,0,1,0,0,1,1,18,24,3,0,Data Analytics,1/23/18,15
BlockCAT,BlockCAT,CAT,1,,,ETH,1,Utility-token,,7268120,9200151,ERC-20,0,1,1,1,0,0,,,,1,21,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,No,No,1,2,0,0,neutral,joint-stock corporation,Canada,"BlockCAT Technologies Inc., PO Box 30100 Glenpark PO, Kelowna, BC, Canada V1V 2M4",0,0,1,0,0,0,0,0,0,0,0,Payments,0x56ba2ee7890461f463f7be02aac3099f6d5811a8,7/15/17,8/16/17,8/18/17,0,7,7,7,1,,1,1,ETH,ETH,,,,,1,1,9,0,0,0,2,1,,1,1,1,0,0,1,1,0,0,0,0,0,1,1,9,0,0,1,0,0,0,0,0,1,0,1,35,33,1,1,Payments,8/13/17,-5
Blockchain Capital,BCAP,BCAP,1,0,10000000,tokens,1,Security,,10000000,50000000,ERC-20,0,1,1,1,0,0,,,,0,0,0,0,2,0,0,,1,1,0,0,,,,,0,1,0,0,,,No,Tally Capital,0,6,1,1,high,joint-stock corporation,United States,"40 Pacific Ave. San Francisco, CA 94133",0,0,0,0,0,0,1,0,0,0,0,Finance,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,4/10/17,5/10/17,5/10/17,0,10,10,10,0,,1,0,tokens,tokens,100,100,,,1,1,0,1,0,0,0,0,,1,1,1,0,0,1,1,1,0,1,0,1,1,0,50,0,1,0,0,0,0,0,0,1,0,1,31,31,,1,Finance,5/11/17,1
Blockpool,Blockpool,BPL,1,0,1751444,tokens,1,New Blockchain,,20000000,25000000,No,1,0,0,0,1,0,,,,1,8,0,0,5,0,0,,,1,1,0,0,1,0,0,1,0,,,,,No,No,0,5,0,1,neutral,joint-stock corporation,United Kingdom,"B,OCKPOOL LIMITED, 71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ ",1,0,1,0,0,0,0,0,0,0,0,Blockchain Infrastructure,not applicable,5/1/17,6/30/17,6/30/17,0,2,2,2,1,,1,0,tokens,tokens,100,100,,,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,1,0,1,61,61,,1,Blockchain Infrastructure,11/9/17,132
Blockstack,,,1,4000000,56800000,tokens,0,Utility-token,,440000000,1320000000,No,1,0,0,0,1,1,,0,0,1,24,1,1,4,0,1,1,,1,1,0,,0,,,0,1,0,0,2,2,Union Square Ventures; Lux Capital; Foundation Capital; YCombinator,Blockchain Capital; Digital Currency Group; Winklevoss Capital,0,10,1,0,high,limited liability partnership,United States,unknown,0,0,1,1,1,1,0,1,0,0,0,Privacy & Security,not applicable,11/16/17,12/1/17,12/1/17,4,53,57,57,0,42,1,0,tokens,tokens,100,100,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,158,0,0,1,0,0,0,1,0,0,1,1,16,16,,0,Privacy & Security,,
Blocktix,Blocktix,TIX,1,2500000,7500000,USD,1,Utility-token,,16500060,62500000,ERC-20,0,0,0,0,0,1,21712320,0,0,1,9,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,,,0,,No,No,1,5,0,0,low,joint-stock corporation,Netherlands,"Blocktix N.V., Nieuw-Eyckholt 292 E, 6419DJ Heerlen",0,0,1,0,0,0,1,0,0,0,0,Events & Entertainment,0xea1f346faf023f974eb5adaf088bbcdf02d761f4,7/7/17,7/25/17,7/28/17,3,4,7,7,0,50,1,1,USD,USD,93,89,0,0,0,0,17,0,0,0,18,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,16,0,0,1,0,0,0,1,0,1,0,1,22,19,0,1,Events & Entertainment,8/9/17,12
BLOCKv,BLOCKv,VEE,1,20000000,40000000,USD,0,Utility-token,,122642333,3646271241,ERC-20,0,0,0,0,1,1,1153552601,0,0,1,27,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,,,3,,No,No,0,4,1,1,neutral,joint-stock corporation,Switzerland,"Blockv AG, Landsgemeindeplatz 11, 6300 Zug",0,0,0,0,0,1,0,0,0,1,0,Blockchain Infrastructure,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,9/16/17,10/25/17,10/25/17,20,2,22,22,0,20,1,0,USD,USD,55,11,0,0,0,0,0,0,0,0,17,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,63,0,0,1,0,0,0,1,0,1,0,1,40,40,3,1,Blockchain Infrastructure,11/28/17,34
Bloom,Bloom,BLT,1,5000000,50000000,USD,1,Utility-token,,,150000000,ERC-20,0,1,1,1,0,1,,1,1,1,17,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,,0,No ,Pantera Capital,0,9,1,1,high,joint-stock corporation,Gibraltar,unknown,0,0,0,0,0,1,0,0,0,0,0,Finance,0x107c4504cd79c5d2696ea0030a8dd4e92601b82e,11/30/17,1/1/18,1/1/18,10,30,40,40,0,15,1,1,USD,USD,80,75,,1,1,1,0,0,0,0,,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,,,0,0,1,0,0,0,1,0,1,0,1,33,33,,0,Finance,1/15/18,14
Bluzelle,Bluzelle,BLZ,1,0,19500000,USD,1,Utility-token,,37756670,500000000,ERC-20,0,0,0,0,0,1,127243330,0,0,1,42,0,0,3,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,,Global Brains; True Global Ventures; LUN partners,Kenetic Capital,0,10,1,1,high,joint-stock corporation,Singapore,"16 Raffles Quay, Level 2, Hong Leong Building Singapore, 048581",0,0,0,0,0,1,0,1,1,1,0,Data Analytics,0x5732046a883704404f284ce41ffadd5b007fd668,1/17/18,1/20/18,1/20/18,12,4,16,16,0,23,1,0,USD,USD,84,57,0,0,0,0,0,0,0,0,18,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,57,0,0,1,0,0,0,1,0,1,0,1,4,4,0,1,Data Analytics,2/6/18,17
BOScoin,BOScoin,BOS,1,5031531,17541441,tokens,0,New Blockchain,,276093689,500000000,No,0,0,0,0,0,1,133906311,,,1,20,1,1,0,0,0,,,1,1,0,0,1,0,0,0,1,0,0,,,No,No,1,13,1,0,high,foundation,Switzerland,"c/o Gubelstrasse 11, 6301 Zug, Switzerland",0,0,0,0,0,0,1,1,0,0,0,Blockchain Infrastructure,not applicable,5/10/17,6/20/17,5/10/17,5,12,17,17,0,,1,0,tokens,tokens,99,99,,,0,0,0,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,22,0,0,0,0,1,1,1,1,0,0,0,1,42,,1,Blockchain Infrastructure,10/26/17,169
Bounty0x,Bounty0x,BNTY,1,1250000,1500000,USD,1,Utility-token,,90881818,500000000,ERC-20,0,0,0,0,0,1,18939394,0,0,1,25,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,,No,No,1,8,0,0,neutral,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,0,1,1,0,0,0,Search,0xd2d6158683aee4cc838067727209a0aaf4359de3,12/15/17,1/1/18,12/16/17,0,2,2,2,0,20,1,1,USD,USD,124,100,0,0,0,0,0,0,0,0,4,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,9,0,0,1,0,0,0,1,0,1,0,1,2,18,1,1,Search,12/26/17,10
Bread,Bread,BRD,1,0,32000000,USD,1,Utility-token,,26263561,88894087,ERC-20,0,1,1,1,0,1,32978250,1,1,1,15,1,1,4,1,1,0,1,1,0,0,0,0,0,0,1,0,,,2,0,Saison Ventures; OKWave; Liberty City Ventures; Globe Advisors; East Ventures; Das Capital,No,0,14,1,1,neutral,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,1,0,0,1,1,1,Payments,0x558ec3152e2eb2174905cd19aea4e34a23de9ad6,12/14/17,12/24/17,12/24/17,12,32,44,44,0,20,1,0,USD,USD,138,100,1,1,1,1,20,0,0,0,4,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,108,0,0,1,0,0,0,0,0,1,0,1,11,11,2,1,Payments,12/24/17,0
CanYa,CanYaCoin,CAN,1,0,23407745,ETH,1,Utility-token,,20090000,100000000,ERC-20,0,1,1,1,0,1,26000000,,,1,41,1,1,2,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,,No,No,0,15,0,1,neutral,joint-stock corporation,Australia,"CanYa Services Pty Ltd, of Level 1 20 Queen Street, Melbourne VIC 3000",0,0,0,0,0,1,1,1,0,0,0,Marketplaces,0x1d462414fe14cf489c7a21cac78509f4bf8cd7c0,11/26/17,12/27/17,12/27/17,,,,,1,,1,0,ETH,ETH,,,,,,1,31,1,0,0,,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,,0,0,1,0,0,0,1,0,1,0,1,32,32,0,0,Marketplaces,1/8/18,12
CarTaxi Token,CarTaxi Token,CTX,1,932322,67059296,ETH,0,Security,,47566417,71349626,ERC-20,0,0,0,0,0,1,12500000,0,0,1,37,1,1,0,1,1,,1,0,1,0,0,0,1,0,1,0,,,0,,No,No,0,9,1,1,medium,joint-stock corporation,Russian Federation,"49 Vyborgskaya embankment, Saint Petersburg",0,0,0,0,0,0,1,1,0,0,0,Marketplaces,0x662abcad0b7f345ab7ffb1b1fbb9df7894f18e66,9/29/17,10/29/17,10/31/17,1,8,9,9,0,45,1,0,ETH,ETH,13,12,0,0,0,0,13,0,0,0,-7,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,12,1,1,0,0,0,0,0,0,1,0,1,33,31,0,1,Marketplaces,11/7/17,7
Cashaa,Cashaa,CAS,1,2500000,32000000,USD,1,New Blockchain,,,1000000000,ERC-20,0,0,0,0,0,1,,0,0,1,33,1,1,1,1,1,,1,1,1,0,0,,,0,1,0,,,1,,No,No,1,15,1,1,high,joint-stock corporation,Estonia,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8, 11415",0,0,0,0,0,1,1,0,0,0,0,Finance,0xe8780b48bdb05f928697a5e8155f672ed91462f7,11/6/17,12/6/17,12/6/17,,14,14,,1,50,1,1,USD,USD,,,,0,,0,29,1,0,0,,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,,,0,0,0,0,1,1,1,0,1,0,1,31,31,1,0,Finance,2/15/18,71
Centra,Centra,CTR,1,0,50571600,ETH,1,unknown,,11503942,100000000,ERC-20,0,1,1,1,0,1,50000000,1,1,1,18,0,0,2,0,0,,1,0,0,0,0,0,1,0,0,1,0,0,,,No,No,0,20,0,0,low,joint-stock corporation,United States,unknown,0,0,0,0,0,0,0,0,0,0,0,Payments,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,9/19/17,10/5/17,10/2/17,19,17,36,36,0,60,1,0,ETH,ETH,70,53,0,0,1,1,0,0,0,0,61,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,149,1,0,0,0,0,0,1,0,1,0,1,14,17,,1,Payments,8/8/17,-55
ChainLink,Chainlink,LINK,1,0,47510400,ETH,1,Utility-token,,,1000000000,ERC-223,0,0,0,0,0,1,,,,0,38,1,0,3,0,0,1,0,1,0,0,0,,,0,0,1,0,0,,,No,No,0,2,0,0,high,joint-stock corporation,United States,"50 California Street, Suite 1500
San Francisco, CA, 94111",0,0,0,0,0,0,0,0,0,0,0,Blockchain Infrastructure,0x514910771af9ca656af840dff83e8264ecf986ca,9/19/17,10/19/17,9/19/17,,32,32,,0,,1,0,ETH,ETH,,,,,,0,28,0,0,0,,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,,,0,0,1,0,0,0,1,0,1,0,1,1,31,,0,Blockchain Infrastructure,9/20/17,1
Chaintrade,,,1,18379944,139242000,tokens,0,Cryptocurrency,,,225000000,ERC-20,0,1,1,1,0,1,,0,0,1,25,0,0,8,0,1,,1,0,0,0,0,,,0,1,0,,,0,,No,No,0,8,1,1,high,joint-stock corporation,Singapore,28 Stanley Street,0,0,0,0,0,1,1,1,1,0,0,Commodities,unknown,10/8/17,12/31/17,12/16/17,,,,,1,35,1,1,tokens,tokens,,,0,0,,1,20,0,0,0,,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,,,0,0,0,1,0,1,1,0,1,0,1,70,85,0,0,Commodities,,
